ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
1,0,0,0,100000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,24,200,0,0,58.9
2,0,0,0,100000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,24,200,0,0,79.1
3,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,6,200,0,0,33.1256
4,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,18,200,0,0,43.47735
5,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,29,200,0,0,46.23781667
6,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,54,200,0,0,49.6884
7,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,75,200,0,0,48.30816667
8,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,100,200,0,0,51.06863333
9,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,53.8291
10,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,190,200,0,0,51.75875
11,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,235,200,0,0,51.75875
12,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,285,200,0,0,52.44886667
13,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,340,200,0,0,52.44886667
14,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,384,200,0,0,53.13898333
15,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,6,200,0,0,40.71688333
16,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,18,200,0,0,54.51921667
17,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,29,200,0,0,57.9698
18,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,54,200,0,0,59.35003333
19,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,75,200,0,0,60.73026667
20,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,100,200,0,0,60.73026667
21,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,60.73026667
22,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,190,200,0,0,59.35003333
23,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,235,200,0,0,58.65991667
24,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,285,200,0,0,60.04015
25,0,0,0,200000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,74.5326
26,0,0,0,250000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,67.07934
27,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,62.80061667
28,0,0,0,350000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,62.70202857
29,0,0,0,400000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,57.9698
30,0,0,0,450000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,53.36902222
