ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,q
1,0,0,0,100000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,24,200,0,0,117.8
2,0,0,0,100000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,24,200,0,0,158.2
3,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,6,200,0,0,198.7536
4,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,18,200,0,0,260.8641
5,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,29,200,0,0,277.4269
6,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,54,200,0,0,298.1304
7,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,75,200,0,0,289.849
8,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,100,200,0,0,306.4118
9,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,322.9746
10,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,190,200,0,0,310.5525
11,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,235,200,0,0,310.5525
12,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,285,200,0,0,314.6932
13,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,340,200,0,0,314.6932
14,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,384,200,0,0,318.8339
15,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,6,200,0,0,244.3013
16,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,18,200,0,0,327.1153
17,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,29,200,0,0,347.8188
18,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,54,200,0,0,356.1002
19,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,75,200,0,0,364.3816
20,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,100,200,0,0,364.3816
21,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,364.3816
22,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,190,200,0,0,356.1002
23,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,235,200,0,0,351.9595
24,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,285,200,0,0,360.2409
25,0,0,0,200000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,298.1304
26,0,0,0,250000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,335.3967
27,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,376.8037
28,0,0,0,350000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,438.9142
29,0,0,0,400000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,463.7584
30,0,0,0,450000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,480.3212
31,0,0,0,200000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,256.7234
32,0,0,0,250000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,293.9897
33,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,310.5525
34,0,0,0,350000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,364.3816
35,0,0,0,400000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,351.9595
36,0,0,0,450000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,389.2258
37,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,3,25,150,200,0,0,414.07
38,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,0,0,236.0199
39,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,5,25,150,200,0,0,144.9245
40,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,6.5,25,150,200,0,0,144.9245
41,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,7.7,25,150,200,0,0,136.6431
42,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,9.6,25,150,200,0,0,136.6431
43,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,3,25,150,200,10,0,397.5072
44,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,4,25,150,200,10,0,339.5374
45,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,5,25,150,200,10,0,293.9897
46,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,6.5,25,150,200,10,0,289.849
47,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,7.7,25,150,200,10,0,285.7083
48,0,0,0,300000,1,0,0.45,0.9,0.16,0.36,995,2.36,0,500,9.6,25,150,200,10,0,281.5676
49,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,3,25,150,200,0,0,405.7886
50,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,0,0,265.0048
51,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,5,25,150,200,0,0,178.0501
52,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,6.5,25,150,200,0,0,169.7687
53,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,7.7,25,150,200,0,0,165.628
54,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,9.6,25,150,200,0,0,169.7687
55,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,3,25,150,200,10,0,393.3665
56,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,10,0,360.2409
57,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,5,25,150,200,10,0,327.1153
58,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,6.5,25,150,200,10,0,322.9746
59,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,7.7,25,150,200,10,0,318.8339
60,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,9.6,25,150,200,10,0,318.8339
61,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,1,175,0,0,115.9396
62,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,2,175,0,0,140.7838
63,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,4,175,0,0,169.7687
64,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,6,175,0,0,198.7536
65,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,8,175,0,0,223.5978
66,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,12,175,0,0,240.1606
67,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,25,175,0,0,256.7234
68,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,33,175,0,0,265.0048
69,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,273.2862
70,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,3,25,48,175,0,0,674.9341
71,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,4,25,48,175,0,0,563.1352
72,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,397.5072
73,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,6,25,48,175,0,0,331.256
74,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,7,25,48,175,0,0,314.6932
75,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,8,25,48,175,0,0,302.2711
76,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,9,25,48,175,0,0,293.9897
77,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,10,25,48,175,0,0,281.5676
78,0,0,0,20000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,169.7687
79,0,0,0,50000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,314.6932
80,0,0,0,100000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,360.2409
81,0,0,0,150000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,401.6479
82,0,0,0,200000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,422.3514
83,0,0,0,250000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,476.1805
84,0,0,0,50000,1,0,0.9,1,0.250492424,0.213117763,712,2.499833345,0,100,3,25,1,150,0,0,53.8291
85,0,0,0,50000,1,0,0.9,1,0.250492424,0.212724,712,2.499833345,0,100,3,25,6,150,0,0,78.6733
86,0,0,0,50000,1,0,0.9,1,0.250492424,0.212724,712,2.499833345,0,100,3,25,12,150,0,0,91.0954
87,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,24,150,0,0,107.6582
88,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,48,150,0,0,128.3617
89,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,72,150,0,0,149.0652
90,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,96,150,0,0,149.0652
91,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,120,150,0,0,153.2059
92,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,144,150,0,0,153.2059
93,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,168,150,0,0,153.2059
94,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,192,150,0,0,153.2059
95,0,0,0,50000,1,0,0.9,1,0.250492424,0.144321844,712,2.499833345,0,100,7,25,1,150,0,0,4.1407
96,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,6,150,0,0,16.5628
97,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,12,150,0,0,33.1256
98,0,0,0,50000,1,0,0.9,1,0.250492424,0.179733753,712,2.499833345,0,100,7,25,24,150,0,0,37.2663
99,0,0,0,50000,1,0,0.9,1,0.250492424,0.178454444,712,2.499833345,0,100,7,25,48,150,0,0,57.9698
100,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,72,150,0,0,74.5326
101,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,96,150,0,0,82.814
102,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,120,150,0,0,91.0954
103,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,144,150,0,0,95.2361
104,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,168,150,0,0,99.3768
105,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,192,150,0,0,99.3768
106,0,0,0,20000,1,0,0.9,1,0.250492424,0.180717304,712,2.499833345,0,100,5,25,168,150,0,0,74.5326
107,0,0,0,50000,1,0,0.9,1,0.250492424,0.178113326,712,2.499833345,0,100,5,25,168,150,0,0,99.3768
108,0,0,0,100000,1,0,0.9,1,0.250492424,0.17850709,712,2.499833345,0,100,5,25,168,150,0,0,111.7989
109,0,0,0,150000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,132.5024
110,0,0,0,200000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,144.9245
111,0,0,0,250000,1,0,0.9,1,0.250492424,0.179786399,712,2.499833345,0,100,5,25,168,150,0,0,144.9245
112,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.237870261,1119.189453,1.5,0,4,6.6,25,0,120,0,0,0
113,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,24,120,0,0,57.9698
114,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,72,120,0,0,86.9547
115,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,168,120,0,0,103.5175
116,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,136.6431
117,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,0,0,107.6582
118,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,99.3768
119,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,91.0954
120,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258072525,1119.189453,1.5,0,4,6.6,25,336,120,50,0,115.9396
121,0,0,0,828.14,1,0,0.25,0.425,0.314636469,0.258119345,1119.189453,1.5,0,4,6.6,25,336,120,0,0,95.2361
122,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,1,120,0,0,22.46278
123,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,3,120,0,0,23.74579
124,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,6,120,0,0,24.12969
125,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,12,120,0,0,24.84696
126,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,24,120,0,0,25.4127
127,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,48,120,0,0,26.69572
128,0,0,0,1000,0,0,0.4,0.6,0.314636469,0.311000854,1067.68103,1.499926925,0,10,5.8,25,72,120,0,0,27.79689
