ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,Re
1,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,100000,500,4,25,24,200,0,58.9
2,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,100000,500,4,25,24,200,0,79.1
3,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,6,200,0,33.1256
4,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,18,200,0,43.47735
5,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,29,200,0,46.23781667
6,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,54,200,0,49.6884
7,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,75,200,0,48.30816667
8,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,100,200,0,51.06863333
9,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,150,200,0,53.8291
10,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,190,200,0,51.75875
11,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,235,200,0,51.75875
12,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,285,200,0,52.44886667
13,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,340,200,0,52.44886667
14,1,0,0.45,0.16,0.36,995,2.36,0,0,0,1,300000,500,4,25,384,200,0,53.13898333
15,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,6,200,0,40.71688333
16,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,18,200,0,54.51921667
17,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,29,200,0,57.9698
18,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,54,200,0,59.35003333
19,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,75,200,0,60.73026667
20,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,100,200,0,60.73026667
21,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,150,200,0,60.73026667
22,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,190,200,0,59.35003333
23,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,235,200,0,58.65991667
24,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,4,25,285,200,0,60.04015
