ID,coal,wood,Dmax,SSA,pore size,Fe,surface water,C0,M,pH,temperature,time,rate,Ca,TOC,RE
1,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.2,180,0,0,23.2152
2,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.4,180,0,0,32.1441
3,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.6,180,0,0,37.5014
4,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.8,180,0,0,35.7156
5,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,1,180,0,0,37.5014
6,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,2,180,0,0,41.073
7,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,3,180,0,0,37.5014
8,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,4,180,0,0,39.2872
9,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,6,180,0,0,41.073
10,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,12,180,0,0,44.6446
11,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,24,180,0,0,44.6446
12,1,0,0.048,425,2.957845211,1,0,20000,142.86,6.7,28,24,180,0,0,68.0271
13,1,0,0.048,425,2.957845211,1,0,60000,142.86,6.7,28,24,180,0,0,44.3655
14,1,0,0.048,425,2.957845211,1,0,100000,142.86,6.7,28,24,180,0,0,30.1686
15,1,0,0.048,425,2.957845211,1,0,140000,142.86,6.7,28,24,180,0,0,25.3517
16,1,0,0.048,425,2.957845211,1,0,180000,142.86,6.7,28,24,180,0,0,21.3612
17,1,0,0.048,425,2.957845211,1,0,220000,142.86,6.7,28,24,180,0,0,18.8217
18,1,0,0.048,425,2.957845211,1,0,260000,142.86,6.7,28,24,180,0,0,16.6086
19,1,0,0.048,425,2.957845211,1,0,300000,142.86,6.7,28,24,180,0,0,15.3801
20,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.17,120,0,0,83.7435
21,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.33,120,0,0,92.1955
22,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.5,120,0,0,94.1765
23,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,1,120,0,0,96.5535
24,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,2,120,0,0,97.478
25,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,4,120,0,0,98.0065
26,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.17,120,0,0,89.2794
27,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.33,120,0,0,97.9295
28,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.5,120,0,0,98.5239
29,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,1,120,0,0,99.6134
30,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,2,120,0,0,99.8445
31,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,4,120,0,0,99.8445
32,0,0,0.15,1000,3.589503765,0,0,20000,100,6.1,25,2,120,0,0,46.1
33,0,0,0.15,1000,3.589503765,0,0,20000,500,6.1,25,2,120,0,0,86.6096
34,0,0,0.15,1000,3.589503765,0,0,20000,1000,6.1,25,2,120,0,0,88.4857
35,0,0,0.15,1000,3.589503765,0,0,20000,2000,6.1,25,2,120,0,0,70.6484
36,0,0,0.15,1000,3.589503765,0,0,20000,5000,6.1,25,2,120,0,0,87.8248
