ID,coal,wood,Dmax,SSA,pore size,Fe,surface water,C0,M,pH,temperature,time,rate,Ca,TOC,q
1,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.2,180,0,0,53.8291
2,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.4,180,0,0,74.5326
3,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.6,180,0,0,86.9547
4,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,0.8,180,0,0,82.814
5,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,1,180,0,0,86.9547
6,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,2,180,0,0,95.2361
7,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,3,180,0,0,86.9547
8,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,4,180,0,0,91.0954
9,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,6,180,0,0,95.2361
10,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,12,180,0,0,103.5175
11,1,0,0.048,425,2.957845211,1,0,33125,142.86,6.7,28,24,180,0,0,103.5175
12,1,0,0.048,425,2.957845211,1,0,20000,142.86,6.7,28,24,180,0,0,95.2361
13,1,0,0.048,425,2.957845211,1,0,60000,142.86,6.7,28,24,180,0,0,186.3315
14,1,0,0.048,425,2.957845211,1,0,100000,142.86,6.7,28,24,180,0,0,211.1757
15,1,0,0.048,425,2.957845211,1,0,140000,142.86,6.7,28,24,180,0,0,248.442
16,1,0,0.048,425,2.957845211,1,0,180000,142.86,6.7,28,24,180,0,0,269.1455
17,1,0,0.048,425,2.957845211,1,0,220000,142.86,6.7,28,24,180,0,0,289.849
18,1,0,0.048,425,2.957845211,1,0,260000,142.86,6.7,28,24,180,0,0,302.2711
19,1,0,0.048,425,2.957845211,1,0,300000,142.86,6.7,28,24,180,0,0,322.9746
20,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.17,120,0,0,1.6749
21,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.33,120,0,0,1.8439
22,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,0.5,120,0,0,1.8835
23,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,1,120,0,0,1.9311
24,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,2,120,0,0,1.9496
25,0,0,0.15,1000,3.589503765,0,0,10000,5000,6.7,25,4,120,0,0,1.9601
26,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.17,120,0,0,7.1424
27,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.33,120,0,0,7.8344
28,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,0.5,120,0,0,7.8819
29,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,1,120,0,0,7.9691
30,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,2,120,0,0,7.9876
31,0,0,0.15,1000,3.589503765,0,0,40000,5000,6.7,25,4,120,0,0,7.9876
32,0,0,0.15,1000,3.589503765,0,0,20000,100,6.1,25,2,120,0,0,92.2
33,0,0,0.15,1000,3.589503765,0,0,20000,500,6.1,25,2,120,0,0,34.6438
34,0,0,0.15,1000,3.589503765,0,0,20000,1000,6.1,25,2,120,0,0,17.6971
35,0,0,0.15,1000,3.589503765,0,0,20000,2000,6.1,25,2,120,0,0,7.0648
36,0,0,0.15,1000,3.589503765,0,0,20000,5000,6.1,25,2,120,0,0,3.513
37,0,0,0.15,1000,3.589503765,0,0,20000,10000,6.1,25,2,120,0,0,1.8
38,0,0,0.15,1000,3.589503765,0,0,40000,2500,6.7,50,2,120,0,0,15.4858
39,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,0.17,150,0,0,153.2059
40,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,0.5,150,0,0,198.7536
41,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,1,150,0,0,256.7234
42,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,2,150,0,0,289.849
43,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,3,150,0,0,302.2711
44,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,4,150,0,0,314.6932
45,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,6,150,0,0,314.6932
46,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,9,150,0,0,318.8339
47,1,0,0.1,812,3.589503765,0,0,50000,100,3,25,12,150,0,0,322.9746
48,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,0.17,150,0,0,95.2361
49,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,0.5,150,0,0,120.0803
50,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,1,150,0,0,144.9245
51,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,2,150,0,0,149.0652
52,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,3,150,0,0,161.4873
53,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,4,150,0,0,165.628
54,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,6,150,0,0,173.9094
55,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,9,150,0,0,178.0501
56,1,0,0.1,812,3.589503765,0,0,50000,100,7,25,12,150,0,0,173.9094
57,1,0,0.1,812,3.589503765,0,0,20000,100,5,25,12,150,0,0,157.3466
58,1,0,0.1,812,3.589503765,0,0,50000,100,5,25,12,150,0,0,202.8943
59,1,0,0.1,812,3.589503765,0,0,100000,100,5,25,12,150,0,0,240.1606
60,1,0,0.1,812,3.589503765,0,0,150000,100,5,25,12,150,0,0,248.442
61,1,0,0.1,812,3.589503765,0,0,200000,100,5,25,12,150,0,0,252.5827
62,1,0,0.1,812,3.589503765,0,0,250000,100,5,25,12,150,0,0,289.849
63,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,0.08,165,0,0,93.7123
64,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,0.17,165,0,0,89.4433
65,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,0.33,165,0,0,91.9567
66,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,0.67,165,0,0,94.2465
67,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,1,165,0,0,94.0146
68,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,3,165,0,0,105.1489
69,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,20,165,0,0,102.5569
70,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,24,165,0,0,103.091
71,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,48,165,0,0,101.944
72,0,0,0.045,825,1.62,0,0,100000,600,6.7,25,96,165,0,0,112.0101
73,0,1,0.149,659.22,2.37,0,0,200,666,7,25,0,250,0,0,0
74,0,1,0.149,659.22,2.37,0,0,200,666,7,25,1,250,0,0,0.3003
75,0,1,0.149,659.22,2.37,0,0,200,666,7,25,2,250,0,0,0.2973
76,0,1,0.149,659.22,2.37,0,0,200,666,7,25,3,250,0,0,0.3003
77,0,1,0.149,659.22,2.37,0,0,200,666,7,25,4,250,0,0,0.3003
78,0,1,0.149,659.22,2.37,0,0,200,666,7,25,6,250,0,0,0.3003
79,0,1,0.149,659.22,2.37,0,0,200,666,7,25,8,250,0,0,0.3003
80,0,1,0.149,659.22,2.37,0,0,200,666,7,25,12,250,0,0,0.3003
81,0,1,0.149,659.22,2.37,0,0,200,666,7,25,24,250,0,0,0.3003
82,1,0,0.26,407.11,3.55,0,0,200,666,7,25,0,250,0,0,0
83,1,0,0.26,407.11,3.55,0,0,200,666,7,25,1,250,0,0,0.2781
84,1,0,0.26,407.11,3.55,0,0,200,666,7,25,2,250,0,0,0.2895
85,1,0,0.26,407.11,3.55,0,0,200,666,7,25,3,250,0,0,0.2926
86,1,0,0.26,407.11,3.55,0,0,200,666,7,25,4,250,0,0,0.2934
87,1,0,0.26,407.11,3.55,0,0,200,666,7,25,6,250,0,0,0.3003
88,1,0,0.26,407.11,3.55,0,0,200,666,7,25,8,250,0,0,0.3003
89,1,0,0.26,407.11,3.55,0,0,200,666,7,25,12,250,0,0,0.3003
90,1,0,0.26,407.11,3.55,0,0,200,666,7,25,24,250,0,0,0.3003
91,1,0,0.26,407.11,3.55,0,0,200,666,7,25,0,250,0,0,0
92,0,1,0.158,734.72,4.12,0,0,200,666,7,25,1,250,0,0,0.2634
93,0,1,0.158,734.72,4.12,0,0,200,666,7,25,2,250,0,0,0.2726
94,0,1,0.158,734.72,4.12,0,0,200,666,7,25,3,250,0,0,0.2804
95,0,1,0.158,734.72,4.12,0,0,200,666,7,25,4,250,0,0,0.2514
96,0,1,0.158,734.72,4.12,0,0,200,666,7,25,6,250,0,0,0.2853
97,0,1,0.158,734.72,4.12,0,0,200,666,7,25,8,250,0,0,0.2814
98,0,1,0.158,734.72,4.12,0,0,200,666,7,25,12,250,0,0,0.2798
99,0,1,0.158,734.72,4.12,0,0,200,666,7,25,24,250,0,0,0.287
100,0,1,0.158,734.72,4.12,0,0,200,666,7,25,0,250,0,0,0
101,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,1,250,0,0,0.112
102,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,2,250,0,0,0.1133
103,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,3,250,0,0,0.1148
104,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,4,250,0,0,0.1139
105,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,6,250,0,0,0.1233
106,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,8,250,0,0,0.1287
107,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,12,250,0,0,0.1332
108,0,1,0.254,1215.06,3.82,0,0,200,666,7,25,24,250,0,0,0.1336
109,0,1,0.149,659.22,2.37,0,0,200,666,7,25,24,250,0,0,0.2985
110,0,1,0.149,659.22,2.37,0,0,200,666,7,25,24,250,0,0,0.2841
111,0,1,0.149,659.22,2.37,0,0,200,666,7,25,24,250,0,0,0.2923
112,0,1,0.149,659.22,2.37,0,0,200,666,7,25,24,250,0,0,0.2877
113,0,1,0.26,407.11,3.55,0,0,200,666,7,25,24,250,0,0,0.2987
114,0,1,0.26,407.11,3.55,0,0,200,666,7,25,24,250,0,0,0.2921
115,0,1,0.26,407.11,3.55,0,0,200,666,7,25,24,250,0,0,0.2876
